"Comuna","COD","Votacion_2004","Votacion_2008","Votacion_2012","Votacion_2016","Votacion_2021","Participacion_2004","Participacion_2008","Participacion_2012","Participacion_2016","Participacion_2021","Inscritos_2004","Inscritos_2008","Inscritos_Total_2012","Inscritos_Total_2016","Inscritos_Total_2021","n_prot","prot_dum","treat","concertatotal_2004","concertatotal_2008","concertatotal_2012","concertatotal_2016","concertatotal_2021","concerta_prop_2004","concerta_prop_2008","concerta_prop_2012","concerta_prop_2016","concerta_prop_2021","derechatotal_2004","derechatotal_2008","derechatotal_2012","derechatotal_2016","derechatotal_2021","derecha_prop_2004","derecha_prop_2008","derecha_prop_2012","derecha_prop_2016","derecha_prop_2021","indeptotal_2004","indeptotal_2008","indeptotal_2012","indeptotal_2016","indeptotal_2021","indep_prop_2004","indep_prop_2008","indep_prop_2012","indep_prop_2016","indep_prop_2021","otrostotal_2004","otrostotal_2008","otrostotal_2012","otrostotal_2016","otrostotal_2021","otros_prop_2004","otros_prop_2008","otros_prop_2012","otros_prop_2016","otros_prop_2021"
"LO ESPEJO",13116,55301,50820,31386,22518,37116,0.868215715519271,0.866333679957723,0.3368,0.24,0.4085,63695,58661,93196,93841,90849,3,1,"Treated",20081,17526,14969,10128,3104,0.363121824198477,0.344864226682408,0.476932390237686,0.449773514521716,0.0836297014764522,13609,13795,5231,1886,2121,0.246089582466863,0.271448248720976,0.166666666666667,0.083755218047784,0.0571451665050113,10670,3892,0,4737,14783,0.192944069727491,0.0765840220385675,0,0.210365041300293,0.398291841793297,3429,6874,8413,4197,16397,0.0620061120052079,0.135261707988981,0.268049448798828,0.186384225952571,0.441777131156375
"LO PRADO",13117,54194,51231,35181,22653,36739,0.891612648481458,0.894520882804861,0.3964,0.2497,0.4133,60782,57272,88761,90731,88885,8,1,"Treated",22695,26839,21974,8332,21643,0.41877329593682,0.523882024555445,0.62459850487479,0.367810003090098,0.589101499768638,13571,12860,11073,6796,7012,0.250415175111636,0.251019890300794,0.314743753730707,0.300004414426345,0.190859849206565,7651,0,0,0,0,0.141177990183415,0,0,0,0,3113,4593,0,5702,7056,0.057441783223235,0.08965274931194,0,0.251710590208802,0.192057486594627
"LOLOL",6304,4024,4219,4961,4211,4415,0.900425151040501,0.892910052910053,0.7637,0.6496,0.6409,4469,4725,6496,6482,6889,1,1,"Treated",2505,1707,1586,0,1056,0.622514910536779,0.404598246029865,0.319693610159242,0,0.239184597961495,1270,99,97,0,0,0.315606361829026,0.0234652761317848,0.0195525095746825,0,0,0,2325,3216,4124,3317,0,0.551078454610097,0.648256399919371,0.97933982426977,0.751302378255946,78,0,0,0,0,0.0193836978131213,0,0,0,0
"LONCOCHE",9109,11917,11295,9730,8940,9587,0.827454520205527,0.802885982371339,0.4507,0.4036,0.4134,14402,14068,21588,22151,23193,1,1,"Treated",2610,3337,3417,4189,0,0.219014852731392,0.295440460380699,0.351181911613566,0.468568232662192,0,5688,6671,5831,4203,0,0.477301334228413,0.590615316511731,0.599280575539568,0.470134228187919,0,1975,260,0,286,9324,0.165729629940421,0.0230190349712262,0,0.0319910514541387,0.972567017836654,811,381,0,0,0,0.0680540404464211,0.0337317397078353,0,0,0
"LONGAVI",7403,14675,14730,15553,14831,11447,0.893618316891974,0.878301830540814,0.6323,0.5866,0.4283,16422,16771,24599,25285,26725,0,0,"Control",8009,6257,7349,6855,1897,0.545758091993186,0.424779361846572,0.472513341477528,0.462207538264446,0.165720276054862,6240,7058,7146,7756,3981,0.425212947189097,0.479158180583842,0.459461197196682,0.522958667655586,0.347776710055036,0,0,442,0,5151,0,0,0.028418954542532,0,0.44998689612999,0,939,197,0,278,0,0.0637474541751527,0.0126663666173729,0,0.0242858390844763
"LONQUIMAY",9205,4808,5005,6040,6182,6457,0.801466911151859,0.793436905516804,0.5432,0.5348,0.5286,5999,6308,11119,11560,12215,1,1,"Treated",1125,1830,2615,2303,3229,0.233985024958403,0.365634365634366,0.43294701986755,0.372533160789389,0.50007743534149,1608,1374,3303,1789,2046,0.334442595673877,0.274525474525475,0.546854304635762,0.289388547395665,0.316865417376491,0,1630,0,1254,1069,0,0.325674325674326,0,0.202846975088968,0.165556760105312,1906,39,0,711,0,0.396422628951747,0.00779220779220779,0,0.115011323196377,0
"LOS ALAMOS",8206,9254,9311,10045,9685,8212,0.866804046459348,0.841102077687444,0.6166,0.5686,0.4547,10676,11070,16291,17032,18060,0,0,"Control",5193,4451,1018,3660,1319,0.561162740436568,0.478036730748577,0.101343952215032,0.377903975219411,0.160618606916707,0,0,3254,5814,3704,0,0,0.323942259830762,0.600309757356737,0.451047247929859,3547,4156,2682,0,2932,0.38329371082775,0.446353775104715,0.266998506719761,0,0.357038480272772,215,267,2882,0,142,0.0232331964555868,0.0286757598539362,0.286908909905426,0,0.0172917681441793
"LOS ANDES",5301,27729,28099,21268,19870,24273,0.862541993281075,0.870504042876173,0.4115,0.3656,0.4337,32148,32279,51679,54356,55969,5,1,"Treated",8154,12056,10363,6695,4426,0.294060370009737,0.429054414747856,0.487257852172278,0.336940110719678,0.182342520496024,14575,10901,7371,8687,7674,0.525622993977424,0.387949749101392,0.346577017114914,0.437191746351283,0.316153751081449,920,0,0,2769,0,0.0331782610263623,0,0,0.13935581278309,0,1998,2953,2115,1068,11663,0.0720545277507303,0.105092707925549,0.0994451758510438,0.053749370910921,0.480492728546121
"LOS ANGELES",8301,72295,72849,61878,46636,48233,0.8713285364766,0.867126124839309,0.4349,0.3046,0.2962,82971,84012,142275,153106,162845,35,1,"Treated",9289,0,26744,27350,36579,0.128487447264679,0,0.432205307217428,0.586456814478086,0.758381191300562,20063,33739,21630,14559,10772,0.277515734144823,0.463136075992807,0.349558809269854,0.312183720730766,0.223332573134576,34461,25496,10686,750,0,0.476671969015838,0.349984213921948,0.17269465722874,0.0160819967407153,0,2885,6662,0,2077,0,0.039905940936441,0.0914494365056487,0,0.044536409640621,0
"LOS LAGOS",14104,9234,9229,8864,7960,7347,0.833694474539545,0.839305201891597,0.5046,0.4398,0.3853,11076,10996,17565,18099,19069,3,1,"Treated",4113,2748,3046,2024,0,0.44541910331384,0.297757070105103,0.343637184115523,0.25427135678392,0,3004,2241,642,2052,1367,0.325319471518302,0.242821540795319,0.072427797833935,0.257788944723618,0.186062338369402,1326,3562,4715,3707,1887,0.143599740090968,0.385957308484126,0.531926895306859,0.46570351758794,0.256839526337281,227,191,199,0,3981,0.0245830625947585,0.0206956333297215,0.0224503610108303,0,0.541853817884851
"LOS MUERMOS",10106,8315,8397,7681,7281,6772,0.868861024033438,0.862380610044161,0.5125,0.4711,0.4145,9570,9737,14986,15456,16339,0,0,"Control",3156,0,2565,1865,2981,0.379555021046302,0,0.333940893112876,0.256146133772833,0.440194920259894,4377,5937,4260,5034,3618,0.526398075766687,0.70703822793855,0.554615284468168,0.69138854552946,0.53425871234495,0,0,174,0,0,0,0,0.0226533003515167,0,0,222,1379,299,154,0,0.0266987372218882,0.164225318566155,0.0389272230178362,0.0211509408048345,0
"LOS SAUCES",9206,4634,4628,4863,4718,4166,0.841321713870733,0.832673623605613,0.6666,0.6404,0.5532,5508,5558,7295,7367,7531,0,0,"Control",3070,2521,2315,1785,629,0.662494605092792,0.544727744165946,0.476043594488999,0.378338278931751,0.150984157465194,1457,1858,2395,1931,1777,0.314415192058697,0.401469317199654,0.492494345054493,0.409283594743535,0.426548247719635,0,0,0,924,1709,0,0,0,0.195845697329377,0.410225636101776,0,114,72,0,0,0,0.0246326707000864,0.0148056755089451,0,0
"LOS VILOS",4203,8780,8782,8886,7464,8037,0.86366319102892,0.836779418770843,0.5413,0.4317,0.44,10166,10495,16417,17288,18266,0,0,"Control",4042,0,1849,3501,0,0.460364464692483,0,0.208080126040963,0.469051446945338,0,3612,4057,2506,2014,1035,0.411389521640091,0.461967661125029,0.282016655413009,0.269828510182208,0.128779395296753,182,0,4244,1157,4160,0.0207289293849658,0,0.477605221697052,0.155010718113612,0.517606071917382,462,4240,0,535,2723,0.052619589977221,0.482805739011615,0,0.0716773847802787,0.338808012940152
"LOTA",8106,28515,28682,26104,24344,21602,0.866453965360073,0.867600350887807,0.545,0.5067,0.4506,32910,33059,47899,48045,47936,7,1,"Treated",10852,9335,4459,8501,5692,0.38057162896721,0.325465448713479,0.170816733067729,0.349203089056852,0.26349412091473,3312,5963,0,7902,2415,0.116149395055234,0.207900425353881,0,0.324597436740059,0.111795204147764,9755,1323,2660,6522,10079,0.342100648781343,0.0461264904818353,0.101900091939933,0.267909957279001,0.466577168780668,2590,10347,17872,838,2944,0.0908293880413817,0.360748901750227,0.684646031259577,0.0344232665133092,0.136283677437274
"LUMACO",9207,5339,5549,5937,5296,4958,0.858222150779617,0.868659987476518,0.6463,0.5874,0.534,6221,6388,9186,9016,9284,1,1,"Treated",2426,2397,2585,2133,1405,0.454392208278704,0.431969724274644,0.435405086744147,0.402756797583082,0.283380395320694,2369,1248,0,823,2953,0.443716051695074,0.224905388358263,0,0.155400302114804,0.595603065752319,110,0,439,2238,384,0.0206031091964787,0,0.0739430688900118,0.422583081570997,0.0774505849132715,176,1720,2798,0,199,0.032964974714366,0.309965759596324,0.471281792150918,0,0.0401371520774506
"MACHALI",6108,14008,14792,13250,13460,19800,0.9128706419029,0.91393265369169,0.4778,0.4261,0.5336,15345,16185,27729,31590,37103,4,1,"Treated",4177,2801,3816,6272,2614,0.298186750428327,0.189359113034072,0.288,0.465973254086181,0.132020202020202,2236,5422,8131,6753,3547,0.159623072529983,0.366549486208761,0.613660377358491,0.501708766716196,0.179141414141414,4582,4476,0,0,13283,0.327098800685323,0.302595997836668,0,0,0.670858585858586,1905,835,707,0,0,0.1359937178755,0.0564494321254732,0.0533584905660377,0,0
"MACUL",13118,58532,57628,40377,30828,49044,0.871777304478635,0.87332353342325,0.4099,0.3105,0.484,67141,65987,98497,99299,101340,14,1,"Treated",34137,34138,16436,9942,5296,0.583219435522449,0.592385645866593,0.407063427198653,0.3224990268587,0.107984666829785,15305,12190,6914,5445,5107,0.261480899337115,0.211529117789963,0.171236099759764,0.176625145971195,0.104130984422152,0,0,1015,14464,37420,0,0,0.0251380736557941,0.469183858829635,0.762988337003507,4286,5577,14131,0,0,0.0732249026173717,0.0967758728395919,0.349976471753721,0,0
"MAFIL",14105,3979,4004,3885,3487,3601,0.844260555909187,0.84188393608074,0.5758,0.5146,0.5033,4713,4756,6747,6776,7155,1,1,"Treated",2052,1569,2098,2313,1552,0.515707464186982,0.391858141858142,0.54002574002574,0.663320906223114,0.4309913912802,1680,1622,1468,977,1279,0.422216637346067,0.405094905094905,0.377863577863578,0.280183538858618,0.355179116911969,0,590,0,0,0,0,0.147352647352647,0,0,0,80,59,186,54,717,0.0201055541593365,0.0147352647352647,0.0478764478764479,0.0154860911958704,0.199111357956123
"MAIPU",13119,136503,149945,120283,102399,194507,0.897166593273699,0.906548893000085,0.3575,0.2767,0.499,152149,165402,336451,370091,389758,43,1,"Treated",68907,90961,60746,17040,17090,0.504802092261709,0.60662909733569,0.50502564784716,0.166407875076905,0.0878631617371097,53231,34430,38946,35303,43108,0.389962125374534,0.229617526426356,0.323786403731201,0.344759226164318,0.221626985147064,0,0,0,30615,0,0,0,0,0.298977529077432,0,5393,10476,14358,14400,132527,0.0395082891951093,0.0698656173930441,0.119368489312704,0.140626373304427,0.681348229112577
"MALLOA",6109,7525,7760,7679,6923,6359,0.929815890275547,0.927120669056153,0.6658,0.5906,0.5166,8093,8370,11533,11722,12310,2,1,"Treated",3564,3335,2966,2983,2750,0.473621262458472,0.429768041237113,0.386248209402266,0.430882565361837,0.432457933637364,3595,2020,2119,3792,0,0.477740863787375,0.260309278350515,0.275947388982941,0.547739419326881,0,0,2117,2418,0,3513,0,0.272809278350515,0.31488475061857,0,0.552445353042931,0,0,0,0,0,0,0,0,0,0
"MARCHIGUE",6204,4338,4547,4388,3932,4539,0.915576192486281,0.909763905562225,0.6771,0.6028,0.6422,4738,4998,6481,6523,7068,1,1,"Treated",1236,1345,1314,823,72,0.284923928077455,0.295799428194414,0.299453053783045,0.209308240081384,0.015862524785195,1652,2784,2946,2983,1837,0.380820654679576,0.612271827578623,0.671376481312671,0.758646998982706,0.404714694866711,1262,246,0,0,206,0.290917473490088,0.0541016054541456,0,0,0.0453844459131967,39,0,0,0,2365,0.00899031811894883,0,0,0,0.521039876624807
"MARIA ELENA",2302,3809,3130,2634,2263,2173,0.644719025050779,0.603897356743199,0.3645,0.34,0.3411,5908,5183,7226,6656,6370,2,1,"Treated",0,2092,1284,912,337,0,0.668370607028754,0.4874715261959,0.403004860804242,0.155085135757018,1412,319,727,1290,1056,0.370700971383565,0.101916932907348,0.276006074411541,0.570039770216527,0.485964104924068,2005,558,247,0,446,0.526384877920714,0.178274760383387,0.0937737281700835,0,0.20524620340543,98,0,321,0,299,0.0257285376739302,0,0.121867881548975,0,0.13759779107225
"MARIA PINTO",13504,5187,5494,5409,5385,5683,0.939673913043478,0.946588559614059,0.5731,0.5254,0.4944,5520,5804,9438,10249,11495,0,0,"Control",2219,2112,1772,706,0,0.427800269905533,0.384419366581725,0.327602144573858,0.131104921077066,0,2538,2415,2809,1816,2529,0.4893001735107,0.439570440480524,0.519319652431133,0.337233054781801,0.445011437620975,90,667,0,2648,2481,0.0173510699826489,0.121405169275573,0,0.491736304549675,0.436565194439557,64,0,589,121,588,0.0123385386543281,0,0.108892586430024,0.0224698235840297,0.103466478972374
"MARIQUINA",14106,8637,9176,9418,8804,8393,0.827140394560429,0.839677891654466,0.5637,0.4985,0.4419,10442,10928,16708,17661,18993,4,1,"Treated",5416,4050,5079,2159,3138,0.627069584346417,0.441368788142982,0.539286472711828,0.245229441163108,0.373882997736209,2739,4425,4106,3738,3210,0.317124001389371,0.482236268526591,0.435973667445317,0.424579736483417,0.382461575122126,0,0,0,2560,1886,0,0,0,0.290776919582008,0.224711068747766,206,373,0,135,0,0.0238508741461155,0.0406495204882302,0,0.0153339391185825,0
"MAULE",7105,8973,9665,9722,9340,12016,0.93225974025974,0.928701835303161,0.5693,0.4778,0.4899,9625,10407,17077,19549,24526,0,0,"Control",3481,1283,5464,6760,6483,0.387941602585534,0.132747025349198,0.562024274840568,0.723768736616702,0.539530625832224,1468,5771,3533,2205,1257,0.163601916861696,0.597102948784273,0.363402592059247,0.236081370449679,0.10461051930759,3234,0,0,0,4008,0.360414577064527,0,0,0,0.333555259653795,209,1828,294,0,0,0.0232920985177755,0.189136057941024,0.0302406912157992,0,0
"MAULLIN",10108,7777,7751,7570,6772,6727,0.847075481973641,0.847474305707413,0.5113,0.4491,0.4364,9181,9146,14805,15080,15413,3,1,"Treated",4216,3579,2565,2856,3008,0.542111353992542,0.461746871371436,0.33883751651255,0.421736562315416,0.44715326297012,2227,3185,2479,1290,3518,0.286357207149286,0.410914720681202,0.327476882430647,0.190490253987005,0.522967147316783,0,0,2240,2401,0,0,0,0.295904887714663,0.354548139397519,0,759,306,0,0,0,0.0975954738330976,0.0394787769320088,0,0,0
"MEJILLONES",2102,4551,5126,4694,4720,5301,0.82896174863388,0.82305716120745,0.5572,0.5243,0.5283,5490,6228,8425,9003,10035,2,1,"Treated",2436,2370,2395,2260,2840,0.535266974291364,0.462348809988295,0.510225820195995,0.478813559322034,0.535747972080739,100,772,259,2394,326,0.0219731927049,0.15060476004682,0.0551768214742224,0.507203389830508,0.0614978305980004,1589,1814,1958,0,2068,0.349154032080861,0.353882169332813,0.417128248828291,0,0.390115072627806,259,0,0,0,0,0.0569105691056911,0,0,0,0
"MELIPEUCO",9110,3182,3267,3594,3440,3756,0.784710234278668,0.796440760604583,0.5087,0.4773,0.4793,4055,4102,7065,7207,7836,1,1,"Treated",1874,878,1878,1150,1943,0.588937774984287,0.268748086929905,0.522537562604341,0.334302325581395,0.517305644302449,1202,1298,1647,1556,1207,0.377749842866122,0.397306397306397,0.458263772954925,0.452325581395349,0.321352502662407,0,667,0,670,540,0,0.204162840526477,0,0.194767441860465,0.143769968051118,0,307,0,0,0,0,0.0939700030609121,0,0,0
"MELIPILLA",13501,45378,45809,37197,29762,34361,0.912028941814893,0.916399935984636,0.435,0.3272,0.3534,49755,49988,85502,90966,97217,3,1,"Treated",16120,24133,18135,9127,8173,0.355238221164441,0.526817874216857,0.48753931768691,0.3066662186681,0.237856872617211,19852,16262,13285,16073,7531,0.437480717528318,0.354995743194569,0.357152458531602,0.54005107183657,0.219172899508163,0,2019,3514,0,5392,0,0.0440743085419896,0.0944699841385058,0,0.156922091906522,3975,0,771,3303,12485,0.0875975142139363,0,0.0207274780224212,0.110980444862576,0.363347981723465
"MOLINA",7304,21281,21573,21043,19239,18882,0.903613434673687,0.899812304483837,0.5833,0.5142,0.4789,23551,23975,36073,37419,39426,6,1,"Treated",10956,9711,12256,10418,10939,0.514825431135755,0.45014601585315,0.582426460105498,0.541504236186912,0.579334816227095,8580,9899,6145,4524,0,0.403176542455712,0.458860612803041,0.292021099653091,0.235147356931233,0,0,0,762,3871,7615,0,0,0.0362115667918073,0.201205883881699,0.403294142569643,554,811,1207,0,0,0.0260326112494714,0.037593287906179,0.0573587416242931,0,0
"MONTE PATRIA",4303,14718,14311,12938,11552,11838,0.88914396181961,0.876738344667034,0.5013,0.4351,0.4224,16553,16323,25807,26550,28025,0,0,"Control",7328,6333,6741,5117,3912,0.497893735561897,0.442526727691985,0.521023342093059,0.442953601108033,0.33046122655854,1467,4474,5654,4367,689,0.0996738687321647,0.312626650828034,0.437007265419694,0.378029778393352,0.0582023990538942,0,568,0,1580,6530,0,0.0396897491440151,0,0.136772853185596,0.551613448217604,4909,2116,0,215,622,0.33353716537573,0.147858290825239,0,0.0186114958448753,0.0525426592329785
"MOSTAZAL",6110,10480,10598,11483,10303,10359,0.928172881055708,0.925024002793052,0.6242,0.5316,0.4937,11291,11457,18397,19381,20983,4,1,"Treated",3554,4019,4552,3267,2659,0.33912213740458,0.379222494810342,0.396412087433597,0.317092109094439,0.256685008205425,2382,4857,6365,4055,1727,0.227290076335878,0.458294017739196,0.554297657406601,0.393574686984374,0.166714933873926,3782,0,0,2752,5821,0.36087786259542,0,0,0.267106667960788,0.561926826913795,0,1030,252,0,0,0,0.0971881487073033,0.0219454846294522,0,0
"MULCHEN",8305,14746,14113,13695,13264,9829,0.84393063583815,0.835237024323845,0.5411,0.5116,0.3664,17473,16897,25309,25929,26828,0,0,"Control",4658,5034,6740,7993,4636,0.315882273158823,0.356692411252037,0.492150419861263,0.602608564535585,0.47166547970292,7560,5653,6418,5005,791,0.512681405126814,0.400552681924467,0.468638189120117,0.377337153196622,0.0804761420286906,1263,0,0,0,4225,0.0856503458565035,0,0,0,0.429850442567911,383,2504,0,0,0,0.0259731452597315,0.177425069085241,0,0,0
"NACIMIENTO",8306,13073,12894,12850,11867,9610,0.850829808005207,0.841919686581783,0.5539,0.4955,0.3895,15365,15315,23199,23950,24671,2,1,"Treated",8065,6728,6380,4576,4210,0.616920370228716,0.521793082053668,0.496498054474708,0.385607145866689,0.438085327783559,2853,1531,2844,3199,5067,0.21823605905301,0.118737397239026,0.221322957198444,0.26957107946406,0.527263267429761,1490,3734,1265,3840,0,0.113975369081313,0.2895920583217,0.098443579766537,0.323586416111907,0,0,0,1935,0,0,0,0,0.150583657587549,0,0
"NANCAGUA",6305,8545,8895,8541,7499,7127,0.921790722761597,0.928593798935171,0.6062,0.5174,0.4676,9270,9579,14090,14494,15241,1,1,"Treated",4192,2697,1948,3852,2139,0.490579286132241,0.303204047217538,0.228076337665379,0.513668489131884,0.30012628034236,2292,1186,4345,2875,1030,0.268227033352838,0.133333333333333,0.508722632010303,0.383384451260168,0.144520836256489,1678,2326,2050,0,3805,0.196372147454652,0.261495222034851,0.240018733169418,0,0.533885225199944,0,2345,0,645,0,0,0.26363125351321,0,0.0860114681957594,0
"NATALES",12401,9282,9032,8164,7244,8724,0.699894435228472,0.695732552765367,0.3949,0.3429,0.3842,13262,12982,20676,21128,22709,9,1,"Treated",2684,1993,2366,2284,267,0.289161818573583,0.220659875996457,0.289808917197452,0.315295416896742,0.03060522696011,345,3982,5537,4688,3008,0.0371687136393019,0.440876882196634,0.678221460068594,0.64715626725566,0.344795965153599,5814,2634,0,0,5302,0.626373626373626,0.29162976085031,0,0,0.6077487391105,0,0,0,0,0,0,0,0,0,0
"NAVIDAD",6205,3888,3864,3549,3473,4286,0.898128898128898,0.888071707653413,0.6441,0.6126,0.6116,4329,4351,5510,5669,7008,0,0,"Control",2321,2121,1100,1602,531,0.596965020576132,0.548913043478261,0.309946463792618,0.461272674920818,0.12389174055063,1181,595,577,0,0,0.303755144032922,0.153985507246377,0.162581008734855,0,0,0,0,1680,1761,1814,0,0,0.473372781065089,0.507054419809963,0.423238450769949,166,825,0,0,1333,0.0426954732510288,0.213509316770186,0,0,0.311012599160056
"NEGRETE",8307,4773,4757,5555,5370,4861,0.852778274075398,0.821163473157259,0.6768,0.6295,0.535,5597,5793,8208,8530,9086,0,0,"Control",3083,2230,1919,2045,2532,0.645924994762204,0.468782846331722,0.345454545454545,0.380819366852886,0.520880477268052,1544,672,460,1385,2138,0.323486276974649,0.141265503468573,0.0828082808280828,0.257914338919925,0.439827196050195,0,1674,3052,1855,0,0,0.351902459533319,0.549414941494149,0.345437616387337,0,0,0,0,0,0,0,0,0,0,0
"NINHUE",16204,4143,3968,4489,4357,4044,0.861868109007697,0.835720303285594,0.7417,0.7076,0.6394,4807,4748,6052,6157,6325,0,0,"Control",1349,1962,2063,2102,2180,0.325609461742699,0.49445564516129,0.459567832479394,0.482442047280239,0.539070227497527,1408,1921,2354,2114,572,0.339850349987931,0.484122983870968,0.524392960570283,0.485196235942162,0.141444114737883,1261,0,0,0,1234,0.304368814868453,0,0,0,0.305143422354105,0,0,0,75,0,0,0,0,0.0172136791370209,0
"NIQUEN",16303,6587,6273,6466,5992,4921,0.863302752293578,0.835731414868106,0.6441,0.5894,0.4624,7630,7506,10039,10166,10642,0,0,"Control",3408,3871,2647,2247,1399,0.517382723546379,0.617089112067591,0.409372100216517,0.375,0.2842918106076,2371,723,3571,3656,2774,0.359951419462578,0.115255858440937,0.552273430250541,0.610146862483311,0.563706563706564,519,1306,113,0,0,0.0787915591316229,0.208193846644349,0.0174760284565419,0,0,79,115,0,0,407,0.0119933201761044,0.0183325362665391,0,0,0.0827067669172932
"NOGALES",5506,10971,11087,10098,9073,10172,0.925510376244306,0.919320066334992,0.5472,0.475,0.5164,11854,12060,18455,19101,19698,2,1,"Treated",4506,7525,5718,1657,2985,0.410719168717528,0.678722828537927,0.566250742721331,0.182629780667916,0.293452615021628,2101,1142,3053,929,5030,0.191504876492571,0.103003517633264,0.302337096454744,0.102391711671994,0.494494691309477,1603,0,807,2947,0,0.146112478352019,0,0.0799168152109329,0.324809875454646,0,2095,1315,0,3235,1966,0.190957980129432,0.118607378010282,0,0.356552408244241,0.193275658670861
"NUEVA IMPERIAL",9111,14916,15322,15680,13596,13639,0.830928639073032,0.828305762785166,0.5458,0.4588,0.4444,17951,18498,28727,29637,30689,5,1,"Treated",7067,6552,7633,8123,4524,0.47378653794583,0.427620415089414,0.486798469387755,0.597455133862901,0.331695872131388,1246,0,7167,3084,508,0.0835344596406543,0,0.457079081632653,0.226831421006178,0.0372461324143999,5796,7825,388,0,7671,0.388576025744167,0.510703563503459,0.0247448979591837,0,0.562431263289097,0,0,0,1660,662,0,0,0,0.122094733745219,0.0485372827919935
"NUNOA",13120,99381,102113,78788,65007,110886,0.843627442658019,0.852170212055714,0.4532,0.3565,0.5623,117802,119827,173848,182372,197198,39,1,"Treated",29681,32279,34217,22327,16142,0.298658697336513,0.316110583373322,0.434292024166117,0.343455320196287,0.145572930757715,56973,55202,34247,30933,31907,0.573278594499955,0.540597181553769,0.434672792811088,0.475841063270109,0.287745973341991,0,0,0,3102,0,0,0,0,0.047717938068208,0,6815,6726,7866,6031,60772,0.0685744760064801,0.0658682048319019,0.0998375387114789,0.0927746242712323,0.548058366250023
"OHIGGINS",11302,248,363,414,430,488,0.509240246406571,0.630208333333333,0.594,0.5811,0.6169,487,576,697,740,791,0,0,"Control",167,176,118,211,205,0.673387096774194,0.484848484848485,0.285024154589372,0.490697674418605,0.420081967213115,73,159,43,214,199,0.294354838709677,0.43801652892562,0.103864734299517,0.497674418604651,0.407786885245902,0,23,129,0,77,0,0.0633608815426997,0.311594202898551,0,0.157786885245902,0,0,119,0,0,0,0,0.28743961352657,0,0
"OLIVAR",6111,6700,7083,6761,6167,6466,0.916928972218421,0.918081659105638,0.6055,0.5261,0.5174,7307,7715,11166,11723,12496,1,1,"Treated",2708,3181,2261,3024,2302,0.404179104477612,0.449103487222928,0.334417985505103,0.490351872871737,0.356016084132385,3262,3458,2945,2950,2472,0.486865671641791,0.488211209939291,0.435586451708327,0.478352521485325,0.38230745437674,198,0,1280,0,1558,0.0295522388059701,0,0.189321106345215,0,0.24095267553356,163,0,0,0,0,0.0243283582089552,0,0,0,0
"OLLAGUE",2202,950,1055,723,1078,794,0.645380434782609,0.663522012578616,0.4194,0.4896,0.4687,1472,1590,1724,2202,1694,2,1,"Treated",403,550,145,370,177,0.424210526315789,0.521327014218009,0.200553250345781,0.343228200371058,0.222921914357683,450,485,436,523,205,0.473684210526316,0.459715639810427,0.603042876901798,0.485157699443414,0.258186397984887,38,0,0,50,290,0.04,0,0,0.0463821892393321,0.365239294710327,32,0,123,112,105,0.0336842105263158,0,0.170124481327801,0.103896103896104,0.132241813602015
"OLMUE",5803,8064,8199,7738,7953,7891,0.90586385082004,0.892651061513337,0.5607,0.5356,0.481,8902,9185,13801,14850,16406,1,1,"Treated",2316,4737,3310,1853,860,0.287202380952381,0.577753384559093,0.427759110881365,0.232993838802967,0.108984919528577,1685,0,3921,3710,1651,0.208953373015873,0,0.50672008270871,0.466490632465736,0.209225700164745,3557,0,0,2178,1132,0.44109623015873,0,0,0.273858921161826,0.143454568495755,0,2549,229,0,4036,0,0.310891572142944,0.0295942103902817,0,0.511468761880624
"OSORNO",10301,69498,69714,50483,37468,51191,0.843913930444919,0.839846761757903,0.3772,0.2702,0.3576,82352,83008,133838,138682,143162,29,1,"Treated",21462,30487,28761,14330,18855,0.308814642147975,0.437315316866053,0.569716538240596,0.382459698943098,0.368326463636186,20360,29167,12183,8581,14602,0.292958070735849,0.418380813036119,0.241328764138423,0.229022098857692,0.285245453302338,17432,0,0,0,16422,0.250827361938473,0,0,0,0.320798577875017,4112,2968,6913,12411,0,0.0591671702782814,0.0425739449751843,0.136937186775746,0.331242660403544,0
"OVALLE",4301,42258,41748,36189,30352,32683,0.883522549081101,0.870058145593231,0.4404,0.3489,0.3559,47829,47983,82178,87001,91832,6,1,"Treated",7495,14215,12723,6874,8497,0.177362866202849,0.340495353070806,0.351570919340131,0.226476014760148,0.259982253771074,11407,0,0,0,0,0.269937053339013,0,0,0,0,18234,22751,21061,21953,17191,0.431492261820247,0.544960237616173,0.581972422559341,0.723280179230364,0.525992105987822,1630,1917,780,798,6417,0.0385725779734015,0.0459183673469388,0.0215535107353063,0.0262915129151291,0.1963406052076
"PADRE HURTADO",13604,14693,16382,16867,14833,22736,0.941738238687348,0.936114285714286,0.5027,0.3915,0.5085,15602,17500,33556,37889,44714,5,1,"Treated",6693,3578,3875,3894,8706,0.455523038181447,0.218410450494445,0.229738542716547,0.262522753320299,0.382916959887403,4818,8121,12528,10192,5400,0.327911250255224,0.495727017458186,0.74275211952333,0.687116564417178,0.237508796622097,1118,1655,0,0,7849,0.0760906554141428,0.101025515810035,0,0,0.345223434201267,887,1879,0,354,253,0.0603688831416321,0.114699059943841,0,0.0238657048472999,0.0111277269528501
