"Comuna","COD","Votacion_2004","Votacion_2008","Votacion_2012","Votacion_2016","Votacion_2021","Participacion_2004","Participacion_2008","Participacion_2012","Participacion_2016","Participacion_2021","Inscritos_2004","Inscritos_2008","Inscritos_Total_2012","Inscritos_Total_2016","Inscritos_Total_2021","n_prot","prot_dum","treat","concertatotal_2004","concertatotal_2008","concertatotal_2012","concertatotal_2016","concertatotal_2021","concerta_prop_2004","concerta_prop_2008","concerta_prop_2012","concerta_prop_2016","concerta_prop_2021","derechatotal_2004","derechatotal_2008","derechatotal_2012","derechatotal_2016","derechatotal_2021","derecha_prop_2004","derecha_prop_2008","derecha_prop_2012","derecha_prop_2016","derecha_prop_2021","indeptotal_2004","indeptotal_2008","indeptotal_2012","indeptotal_2016","indeptotal_2021","indep_prop_2004","indep_prop_2008","indep_prop_2012","indep_prop_2016","indep_prop_2021","otrostotal_2004","otrostotal_2008","otrostotal_2012","otrostotal_2016","otrostotal_2021","otros_prop_2004","otros_prop_2008","otros_prop_2012","otros_prop_2016","otros_prop_2021"
"CATEMU",5702,6855,6905,6521,5730,5972,0.930374592833876,0.926845637583893,0.5772,0.4954,0.4902,7368,7450,11298,11566,12182,1,1,"Treated",1056,2513,1423,2233,1571,0.154048140043764,0.363939174511224,0.218218064714001,0.389703315881326,0.263060951105157,3202,2704,2618,3320,745,0.467104303428155,0.391600289645185,0.401472166845576,0.579406631762653,0.124748827863362,2032,0,1309,0,3549,0.296425966447848,0,0.200736083422788,0,0.594273275284662,253,1323,931,0,0,0.036907366885485,0.191600289645185,0.14276951387824,0,0
"CAUQUENES",7201,22510,21793,21576,17538,14903,0.841589710995626,0.828788743107055,0.5938,0.4743,0.3963,26747,26295,36337,36979,37610,1,1,"Treated",9080,8777,7703,6702,2688,0.403376277210129,0.40274400036709,0.357017055988135,0.382141635306192,0.180366369187412,5101,11426,11418,10372,4608,0.226610395379831,0.524296792548066,0.529199110122358,0.591401528110389,0.309199490035563,7036,0,800,0,7317,0.312572190137717,0,0.0370782350760104,0,0.490974971482252,0,532,997,0,0,0,0.024411508282476,0.0462087504634779,0,0
"CERRILLOS",13102,36769,35599,24616,21687,29158,0.867091144912157,0.855950949747535,0.3729,0.3209,0.4317,42405,41590,66009,67584,67537,10,1,"Treated",12406,8375,11009,13467,6126,0.337403791237184,0.235259417399365,0.447229444263893,0.620971088670632,0.210096714452294,18758,20708,10329,7590,7424,0.510158013544018,0.581701733194753,0.419605134871628,0.34997925024208,0.254612799231772,0,0,0,0,9002,0,0,0,0,0.308731737430551,2023,2524,2081,0,6121,0.0550191737605048,0.0709008680019102,0.0845385115372116,0,0.20992523492695
"CERRO NAVIA",13103,66422,62036,47411,36545,44995,0.893393231828697,0.888716978969687,0.4101,0.3139,0.3896,74348,69804,115602,116423,115479,3,1,"Treated",34869,21423,19920,16262,0,0.524961609105417,0.345331742858985,0.420155660078885,0.444985634149678,0,21892,28369,21527,15319,6212,0.32958959380928,0.45729898768457,0.454050747716775,0.419181830619784,0.138059784420491,0,4645,0,2352,37997,0,0.0748758785221484,0,0.0643590094404159,0.84447160795644,3559,0,3690,1368,0,0.0535816446358134,0,0.0778300394423235,0.0374333014092215,0
"CHAITEN",10401,2891,3106,2211,2200,2452,0.589038304808476,0.669685209141872,0.4029,0.4268,0.4744,4908,4638,5488,5155,5169,1,1,"Treated",826,1327,162,521,1223,0.285714285714286,0.427237604636188,0.073270013568521,0.236818181818182,0.498776508972267,634,1483,290,930,1148,0.219301279833967,0.477462974887315,0.13116236996834,0.422727272727273,0.468189233278956,1350,0,1693,694,0,0.466966447595988,0,0.765716870194482,0.315454545454545,0,0,115,0,0,0,0,0.0370251126851256,0,0,0
"CHANARAL",3201,6312,6132,5412,5571,5434,0.808194622279129,0.811540497617787,0.4621,0.4751,0.4511,7810,7556,11711,11727,12045,26,1,"Treated",4384,3548,2765,2033,2169,0.694550063371356,0.578604044357469,0.51090169992609,0.364925507090289,0.399153478100847,1140,140,487,0,1754,0.180608365019011,0.0228310502283105,0.0899852180339985,0,0.322782480677218,0,0,0,3460,1418,0,0,0,0.621073415903787,0.26094957673905,465,2090,2001,0,0,0.0736692015209126,0.340834964122635,0.369733924611973,0,0
"CHANCO",7202,6633,6590,6523,5976,5743,0.894417475728155,0.88527673293928,0.7153,0.6489,0.6053,7416,7444,9119,9209,9488,0,0,"Control",2518,2323,253,2523,2445,0.37961706618423,0.352503793626707,0.0387858347386172,0.42218875502008,0.42573567821696,2229,3176,3762,3331,1178,0.336047037539575,0.481942336874052,0.57672849915683,0.55739625167336,0.205119275639909,1706,0,0,0,1661,0.25719885421378,0,0,0,0.289221661152708,0,957,2329,0,366,0,0.145220030349014,0.357044304767745,0,0.0637297579662198
"CHEPICA",6302,7824,8097,8214,6864,6078,0.918957011980268,0.922629899726527,0.6298,0.5161,0.442,8514,8776,13042,13299,13750,0,0,"Control",3546,2932,3161,2778,2377,0.453220858895706,0.362109423243177,0.384830776722669,0.40472027972028,0.39108259295821,3260,4931,4483,3618,2308,0.416666666666667,0.608990984315179,0.545775505234965,0.527097902097902,0.379730174399473,511,0,0,291,1380,0.0653118609406953,0,0,0.0423951048951049,0.227048371174729,226,0,379,0,0,0.0288854805725971,0,0.0461407353299245,0,0
"CHIGUAYANTE",8103,28541,29402,27755,23787,30614,0.867903299376616,0.866370038600937,0.4691,0.3722,0.4542,32885,33937,59167,63907,67398,2,1,"Treated",17162,15756,13435,12452,15048,0.601310395571283,0.535881912795048,0.484056926679877,0.523479211333922,0.491539818383746,7608,9530,3235,1834,4614,0.266563890543429,0.324127610366642,0.116555575571969,0.0771009374868626,0.150715358986085,0,0,10223,8846,10444,0,0,0.368330030625113,0.371883802076765,0.341151107336513,1192,1705,0,0,0,0.0417644791703164,0.0579892524318074,0,0,0
"CHILE CHICO",11401,2600,2699,2583,2465,2683,0.759124087591241,0.733822729744426,0.4264,0.3986,0.4156,3425,3678,6058,6184,6456,4,1,"Treated",704,1457,1301,1071,821,0.270769230769231,0.539829566506113,0.503677893921796,0.43448275862069,0.306000745434215,775,629,916,115,566,0.298076923076923,0.233049277510189,0.354626403406891,0.0466531440162272,0.210957882966828,1006,511,318,1221,1252,0.386923076923077,0.189329381252316,0.123112659698026,0.495334685598377,0.466641818859486,39,42,0,0,0,0.015,0.0155613190070396,0,0,0
"CHILLAN",16101,72155,72992,63033,49509,55025,0.858313705897747,0.861201566850724,0.4526,0.3379,0.3603,84066,84756,139256,146514,152723,24,1,"Treated",32528,19328,23940,17360,33268,0.450807289862102,0.264796142042964,0.379801056589405,0.350643317376639,0.60459791004089,26730,43425,26405,27114,8599,0.37045249809438,0.594928211310829,0.418907556359367,0.547658001575471,0.156274420717856,0,0,10261,0,0,0,0,0.162787746101249,0,0,5291,5067,0,3250,11784,0.0733282516804102,0.0694185664182376,0,0.065644630269244,0.214157201272149
"CHILLAN VIEJO",16103,9400,10510,11189,8970,9932,0.919405320813772,0.904241589950959,0.6223,0.4604,0.4422,10224,11623,17979,19485,22462,0,0,"Control",4048,3277,5744,2907,1875,0.43063829787234,0.311798287345385,0.513361337027438,0.324080267558528,0.188783729359646,1557,702,257,1070,1207,0.16563829787234,0.0667935299714558,0.0229689873983377,0.119286510590858,0.121526379379783,3384,5587,4897,2139,6649,0.36,0.531588962892483,0.437661989453928,0.238461538461538,0.669452275473218,0,372,0,2446,0,0,0.035394862036156,0,0.272686733556299,0
