Comuna;Validos_2008;Validosp_2008;Nulos_2008;Nulosp_2008;Blancos_2008;Blancosp_2008;Votacion_2008;
NAVIDAD;3541;0.9164;196;0.0507;127;0.0329;3864;
OLIVAR;6639;0.9373;283;0.04;161;0.0227;7083;
PALMILLA;5570;0.9567;127;0.0218;125;0.0215;5822;
PAREDONES;3789;0.9458;102;0.0255;115;0.0287;4006;
PERALILLO;5705;0.9643;103;0.0174;108;0.0183;5916;
PEUMO;7250;0.9562;184;0.0243;148;0.0195;7582;
PICHIDEGUA;9032;0.9435;229;0.0239;312;0.0326;9573;
PICHILEMU;7170;0.9657;157;0.0211;98;0.0132;7425;
PLACILLA;5135;0.9604;112;0.0209;100;0.0187;5347;
PUMANQUE;2572;0.9828;16;0.0061;29;0.0111;2617;
QUINTA DE TILCOCO;7509;0.9688;135;0.0174;107;0.0138;7751;
RANCAGUA;82513;0.8778;8588;0.0914;2896;0.0308;93997;
RENGO;22351;0.9034;1565;0.0633;824;0.0333;24740;
REQUINOA;10804;0.9381;447;0.0388;266;0.0231;11517;
SAN FERNANDO;29358;0.9197;1743;0.0546;821;0.0257;31922;
SAN VICENTE;20286;0.9399;781;0.0362;516;0.0239;21583;
SANTA CRUZ;16284;0.9626;422;0.0249;211;0.0125;16917;
CAUQUENES;20735;0.9515;662;0.0304;396;0.0182;21793;
CHANCO;6456;0.9797;92;0.014;42;0.0064;6590;
COLBUN;9087;0.9578;208;0.0219;192;0.0202;9487;
CONSTITUCION;19618;0.9516;632;0.0307;366;0.0178;20616;
CUREPTO;6144;0.957;142;0.0221;134;0.0209;6420;
CURICO;50337;0.9082;3361;0.0606;1726;0.0311;55424;
EMPEDRADO;2898;0.9715;52;0.0174;33;0.0111;2983;
HUALANE;5688;0.9624;111;0.0188;111;0.0188;5910;
LICANTEN;4413;0.9695;72;0.0158;67;0.0147;4552;
LINARES;37673;0.9307;1758;0.0434;1047;0.0259;40478;
LONGAVI;14254;0.9677;278;0.0189;198;0.0134;14730;
MAULE;8882;0.919;493;0.051;290;0.03;9665;
MOLINA;20421;0.9466;725;0.0336;427;0.0198;21573;
PARRAL;19378;0.9577;513;0.0254;342;0.0169;20233;
PELARCO;4604;0.9473;142;0.0292;114;0.0235;4860;
PELLUHUE;4499;0.9795;66;0.0144;28;0.0061;4593;
PENCAHUE;6634;0.9692;118;0.0172;93;0.0136;6845;
RAUCO;5620;0.9378;244;0.0407;129;0.0215;5993;
RETIRO;8786;0.9617;178;0.0195;172;0.0188;9136;
RIO CLARO;6059;0.9513;149;0.0234;161;0.0253;6369;
ROMERAL;7232;0.9373;289;0.0375;195;0.0253;7716;
SAGRADA FAMILIA;8873;0.9432;246;0.0262;288;0.0306;9407;
SAN CLEMENTE;17609;0.9344;734;0.0389;502;0.0266;18845;
SAN JAVIER;18942;0.8987;1208;0.0573;928;0.044;21078;
SAN RAFAEL;4715;0.9577;116;0.0236;92;0.0187;4923;
TALCA;79376;0.9207;4911;0.057;1929;0.0224;86216;
TENO;11692;0.9282;562;0.0446;343;0.0272;12597;
VICHUQUEN;3393;0.962;68;0.0193;66;0.0187;3527;
VILLA ALEGRE;7599;0.9624;177;0.0224;120;0.0152;7896;
YERBAS BUENAS;7576;0.9452;248;0.0309;191;0.0238;8015;
ALTO BIOBIO;2190;0.9152;130;0.0543;73;0.0305;2393;
ANTUCO;2359;0.9593;59;0.024;41;0.0167;2459;
ARAUCO;15281;0.9477;490;0.0304;354;0.022;16125;
BULNES;11025;0.9554;305;0.0264;210;0.0182;11540;
CABRERO;12071;0.904;708;0.053;574;0.043;13353;
CANETE;12979;0.9067;844;0.059;491;0.0343;14314;
CHIGUAYANTE;26991;0.918;1755;0.0597;656;0.0223;29402;
CHILLAN;67820;0.9291;3525;0.0483;1647;0.0226;72992;
CHILLAN VIEJO;9938;0.9456;370;0.0352;202;0.0192;10510;
COBQUECURA;3671;0.9842;34;0.0091;25;0.0067;3730;
COELEMU;8774;0.944;359;0.0386;161;0.0173;9294;
