Tipo de Elección;Cargo;Fecha de Elección;Año de Elección;Inicio de Período;Fin de Período;Período;Id Región;Región;Circunscripción Senatorial;Distrito;Comuna;Circunscripción Electoral;Nombre Circunscripción Electoral;Sexo Mesa;Candidato (a);Nombres;Apellido Paterno;Apellido Materno;Sexo;Electo(a);Partido;Sigla Partido;Lista;Votos Totales
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;GENERAL LAGOS;6;GENERAL LAGOS;HOMBRE;CHURA POMA RAUL;RAUL LORENZO ROSARIO;CHURA;POMA;HOMBRE;;DEMOCRATA CRISTIANO;PDC;C;278
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;GENERAL LAGOS;6;GENERAL LAGOS;HOMBRE;MENDOZA CHURA GREGORIO MARIO;GREGORIO MARIO;MENDOZA;CHURA;HOMBRE;SI;RENOVACION NACIONAL;RN;B;321
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;GENERAL LAGOS;6;GENERAL LAGOS;HOMBRE;MENDOZA FLORES SILVIA;SILVIA EUSEBIA;MENDOZA;FLORES;MUJER;;HUMANISTA;PH;A;14
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;GENERAL LAGOS;6;GENERAL LAGOS;HOMBRE;VOTOS NULOS; ;  ; ;; ; ; ; ;48
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;GENERAL LAGOS;6;GENERAL LAGOS;HOMBRE;VOTOS EN BLANCO; ;  ; ;; ; ; ; ;17
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;GENERAL LAGOS;6;GENERAL LAGOS;MUJER;ALAVE PACO MARCELO;MARCELO JORGE;ALAVE;PACO;HOMBRE;;INDEPENDIENTE;IND;CI;30
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;GENERAL LAGOS;6;GENERAL LAGOS;MUJER;CHURA POMA RAUL;RAUL LORENZO ROSARIO;CHURA;POMA;HOMBRE;;DEMOCRATA CRISTIANO;PDC;C;190
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;GENERAL LAGOS;6;GENERAL LAGOS;MUJER;MENDOZA CHURA GREGORIO MARIO;GREGORIO MARIO;MENDOZA;CHURA;HOMBRE;SI;RENOVACION NACIONAL;RN;B;240
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;GENERAL LAGOS;6;GENERAL LAGOS;MUJER;MENDOZA FLORES SILVIA;SILVIA EUSEBIA;MENDOZA;FLORES;MUJER;;HUMANISTA;PH;A;27
MUNICIPALES;ALCALDE;31-10-2004;2004;2004;2008;2004-2008;1;DE TARAPACA;1;1;GENERAL LAGOS;6;GENERAL LAGOS;MUJER;VOTOS NULOS; ;  ; ;; ; ; ; ;28
