Comuna;Mesas_Total_2017a;Inscritos_Total_2017a;Votacion_2017a;Participacion_2017a
LONCOCHE;67;22362;9539;0.4266
LONQUIMAY;38;11634;4455;0.3829
LOS SAUCES;23;7396;3606;0.4876
LUMACO;28;9068;4363;0.4811
MELIPEUCO;22;7290;2596;0.3561
NUEVA IMPERIAL;88;29880;13967;0.4674
PADRE LAS CASAS;163;55662;24192;0.4346
PERQUENCO;20;6379;3005;0.4711
PITRUFQUEN;65;22039;10061;0.4565
PUCON;73;25198;9961;0.3953
PUREN;38;12022;5329;0.4433
RENAICO;29;9168;4283;0.4672
SAAVEDRA;38;12801;5302;0.4142
TEMUCO;681;228212;105454;0.4621
TEODORO SCHMIDT;44;13835;6719;0.4857
TOLTEN;31;10438;4358;0.4175
TRAIGUEN;58;18582;8194;0.441
VICTORIA;97;32115;13870;0.4319
VILCUN;68;23004;10302;0.4478
VILLARRICA;148;50205;20929;0.4169
CORRAL;18;5397;2573;0.4767
FUTRONO;43;13949;6067;0.4349
LAGO RANCO;30;8982;4064;0.4525
LANCO;49;15702;7263;0.4626
LA UNION;109;35313;16071;0.4551
LOS LAGOS;60;18267;8105;0.4437
MAFIL;21;6854;3109;0.4536
MARIQUINA;61;17904;7901;0.4413
PAILLACO;63;18706;8630;0.4613
PANGUIPULLI;101;33374;13241;0.3967
RIO BUENO;99;30164;13231;0.4386
VALDIVIA;396;132345;65281;0.4933
ANCUD;111;37998;15484;0.4075
CALBUCO;90;30955;11893;0.3842
CASTRO;129;39467;16062;0.407
CHAITEN;14;5124;1437;0.2804
CHONCHI;36;12354;5348;0.4329
COCHAMO;15;4438;1478;0.333
CURACO DE VELEZ;11;3636;1371;0.3771
DALCAHUE;33;11537;4143;0.3591
FRESIA;38;12019;5881;0.4893
FRUTILLAR;45;15232;7519;0.4936
FUTALEUFU;11;3631;953;0.2625
HUALAIHUE;24;8119;3479;0.4285
LLANQUIHUE;46;15642;7592;0.4854
LOS MUERMOS;47;15801;7053;0.4464
MAULLIN;47;15154;5910;0.39
OSORNO;433;140080;63938;0.4564
PALENA;7;2302;783;0.3401
PUERTO MONTT;514;174918;74569;0.4263
PUERTO OCTAY;27;8772;3986;0.4544
PUERTO VARAS;112;37759;18255;0.4835
PUQUELDON;13;4280;1474;0.3444
PURRANQUE;64;19632;9010;0.4589
PUYEHUE;35;11114;5549;0.4993
QUEILEN;18;5957;2256;0.3787
QUELLON;63;21481;8321;0.3874
QUEMCHI;32;8795;2928;0.3329
QUINCHAO;27;9128;2619;0.2869
RIO NEGRO;42;13154;6291;0.4783
SAN JUAN DE LA COSTA;23;7699;3739;0.4856
SAN PABLO;29;9721;4893;0.5033
AYSEN;67;21890;8795;0.4018
CHILE CHICO;19;6209;2061;0.3319
CISNES;14;4253;1764;0.4148
COCHRANE;9;3267;1383;0.4233
COYHAIQUE;163;52542;21134;0.4022
GUAITECAS;5;1590;576;0.3623
LAGO VERDE;4;1196;453;0.3788
OHIGGINS;2;699;237;0.3391
RIO IBANEZ;10;2886;1464;0.5073
TORTEL;2;546;238;0.4359
ANTARTICA;1;327;37;0.1131
CABO DE HORNOS;5;1943;742;0.3819
LAGUNA BLANCA;3;944;313;0.3316
NATALES;68;21392;7591;0.3549
PORVENIR;15;6183;2043;0.3304
PRIMAVERA;4;1416;289;0.2041
PUNTA ARENAS;377;121321;48763;0.4019
RIO VERDE;2;825;236;0.2861
SAN GREGORIO;3;1072;258;0.2407
TIMAUKEL;3;974;191;0.1961
TORRES DEL PAINE;5;1747;558;0.3194
